F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
150,11728;301;452;603;750;898;360,87366;88,773645;55,516631;42,609705;22,261658
147,23926;149;289;580;756;869;629,81004;445,18133;141,10407;60,039353;41,994962
158,02469;160;313;626;776;1242;452,5882;282,01409;93,572715;56,251562;23,259915
168,12609;331;506;1021;35949;36073;68,37194;30,128594;7,8199597;6,8225847;6,2107436
150,23474;138;302;456;553;648;191,67441;119,91874;49,359061;45,121559;20,104016
175,50274;180;348;522;695;857;325,9874;208,74179;88,43765;55,303321;42,326915
144,90566;143;285;420;560;633;162,43207;54,731088;27,559088;21,749164;14,010124
168,42105;169;339;491;680;844;272,83764;245,54999;84,372527;77,902897;34,918309
165,23236;327;377;636;695;820;250,42983;87,275925;62,314062;54,142823;44,392917
166,52212;168;328;387;651;807;262,26081;170,18766;66,716699;65,943832;32,241926
167,10183;168;331;500;678;854;292,42877;283,20552;60,470601;44,355906;31,257353
163,26531;168;327;649;822;936;226,64501;74,725509;35,280219;22,776815;13,823385
155,46559;311;466;619;770;931;177,56406;97,453318;26,931967;15,533505;14,665379
172,19731;168;336;501;693;850;370,39602;212,57554;82,37332;49,256226;46,314765
182,85714;175;250;305;361;495;197,48985;61,768986;52,592141;45,303788;41,219183
143,49776;291;569;619;866;969;214,56732;100,60159;41,930933;26,99444;16,540736
182,50951;364;537;892;942;1146;110,00393;43,115707;35,733375;17,551038;15,430339
104,06504;173;223;361;717;767;168,14927;98,526959;47,728385;37,144767;20,836554
178,27298;182;359;511;718;1079;141,57667;103,27678;26,169047;20,456979;12,229665
151,06216;151;291;438;599;649;249,3046;81,455731;57,729124;37,073416;23,76722
151,77866;304;605;904;1059;35832;139,94433;60,930872;17,639923;13,361287;10,045309
160,26711;321;486;804;870;1278;342,27937;70,504036;48,657882;28,573101;19,039002
165,80311;166;333;501;834;1050;277,93559;107,30598;50,712906;41,703914;13,359333
165,09028;170;228;296;352;514;150,09018;48,024524;32,351692;23,998359;21,034435
159,73378;321;481;644;806;965;153,57952;63,370201;56,294357;34,40751;12,122956
159,3361;166;323;468;698;880;280,11094;146,76712;46,752371;28,095362;18,218263
161,48024;162;314;481;621;672;117,34436;56,689738;23,565222;16,198256;13,301172
75,531078;301;459;757;829;1055;431,41852;87,80003;69,217507;23,748955;18,067937
170,81851;169;327;517;680;868;161,46762;80,331496;45,748588;37,016681;20,327436
87,272727;164;250;461;617;773;248,82517;97,47832;69,718282;67,789179;25,65205
158,02469;159;319;476;608;659;236,93427;86,9833;47,134477;28,305596;18,979366
77,607114;160;222;459;628;687;244,57866;116,29553;80,260895;74,777082;43,383459
163,96243;162;327;484;650;807;365,36696;260,56307;83,378801;65,66129;35,679649
162,02532;170;319;481;652;807;208,80522;207,6229;104,82227;91,362844;41,078544
157,765;157;314;473;630;788;429,80401;226,3832;93,921616;59,900192;31,023448
164,94845;158;314;366;438;534;456,08382;134,96316;116,36277;83,188149;69,979199
157,24816;152;202;350;508;664;269,015;94,18793;63,517729;60,627779;46,519718
77,985378;157;313;387;510;637;220,7803;123,08921;47,126698;42,83958;26,265181
171,88899;171;339;526;687;756;132,26038;66,748729;31,133206;22,201501;15,523198
151,89873;152;288;609;751;823;467,50718;128,77452;72,621002;46,424881;32,014118
76,190476;153;305;380;449;596;214,52005;87,991153;37,037159;34,640205;28,171092
160,53512;161;642;799;955;1434;347,8616;90,258816;26,732667;26,309035;11,196943
162,84987;162;314;368;460;623;193,70918;58,537747;38,815205;30,907554;24,326719
78,656288;155;312;478;638;793;172,99511;159,32084;47,72808;47,170907;28,599222
147,69231;148;294;440;538;592;345,42143;311,78628;85,705116;79,497325;71,043138
158,41584;151;300;350;428;497;184,27845;143,00126;57,010631;55,595507;46,050102
149,53271;300;450;753;1050;1195;355,86017;86,586784;45,303298;17,773501;9,9534202
172,97297;173;333;696;864;1030;212,06585;95,255528;50,237727;18,589191;15,4855
167,979;180;323;499;639;720;160,75546;106,85628;21,907411;17,62204;17,252805
154,83871;152;461;637;778;921;210,96359;188,288;84,808127;50,782045;43,570193
179,94377;175;340;397;512;565;149,39466;58,225921;22,90163;17,769552;16,076048
149,06832;299;595;751;891;1043;398,78508;78,42124;66,317869;30,678768;22,326018
171,27565;169;365;486;671;735;188,12624;92,570058;45,457619;38,974452;30,586852
153,11005;153;306;615;770;919;268,28493;125,12672;53,852022;25,077552;11,900137
170,66667;170;332;382;498;678;309,17661;93,700779;62,76111;58,549987;45,509692
50,420168;155;205;605;756;908;201,29269;111,24718;95,880183;40,732349;15,834681
169,76127;170;344;682;853;1032;431,57812;263,00469;95,886727;46,705938;22,881819
78,335373;159;322;630;707;788;122,7092;79,189831;59,294298;49,894377;44,580777
158,67769;158;318;470;624;678;426,8855;170,49994;83,385817;64,792658;45,016528
159,86678;161;319;649;818;963;204,60284;142,4714;78,219888;21,963455;21,591274
164,94845;329;660;718;988;1150;310,61672;119,42457;36,402445;29,694638;21,021381
86,838535;182;244;348;401;487;156,97029;57,182183;43,806897;36,964379;31,613711
151,77866;152;304;459;610;756;269,22918;120,54903;68,869984;42,738905;19,739595
167,53927;164;219;328;378;478;170,86408;100,06853;89,535058;40,951966;39,663475
159,601;154;329;379;648;834;251,26535;108,65977;54,64131;52,122098;39,091474
154,21687;146;320;616;771;913;208,31843;134,06468;82,35549;58,995229;29,336676
166,66667;172;330;538;619;781;283,4316;107,52538;62,2868;55,404311;52,175953
165,37468;327;377;485;668;815;217,30296;67,001633;52,883459;28,242358;17,144908
158,41584;156;318;483;641;794;162,62587;64,813365;23,03946;21,549359;12,196404
150,70644;145;305;465;645;756;248,2896;124,64287;49,808156;25,351039;23,930743
152,38095;155;281;350;449;594;469,70748;191,74593;111,05452;98,820106;56,938144
150,82482;159;299;466;596;35771;75,516779;55,075933;25,330118;20,112095;9,0689051
80,469405;159;336;484;634;720;261,93144;195,98542;70,812972;63,79461;42,271505
